metric,Earthformer_8_20,Earthformer_8_8,NowcastNet_8_20,NowcastNet_8_8,CasCast_8_20,CasCast_8_8,DDMS_8_20,DDMS_8_8,PredRNNv2_8_20,PredRNNv2_8_8,TUPANN_8_20,TUPANN_8_8
MSE,0.013976,0.010237,0.054992,0.040163,0.018604,0.018522,0.015085,0.01412,0.015834,0.009,0.016703,0.01845
MAE,0.040405,0.036215,0.177301,0.128478,0.062787,0.065454,0.049565,0.054648,0.041984,0.032213,0.047324,0.049102
CSI@thr=7,0.191752,0.393721,0.272606,0.335745,0.178740,0.248357,0.17012,0.264082,0.0,0.445424,0.194697,0.366075
CSI@thr=11,0.169866,0.363751,0.242325,0.308449,0.146413,0.231189,0.12992,0.242467,0.0,0.416337,0.17757,0.342487
CSI@thr=16,0.148165,0.328040,0.216175,0.283456,0.118286,0.212508,0.111535,0.210789,0.0,0.383619,0.157221,0.312853
CSI@thr=23,0.122586,0.278794,0.186749,0.252494,0.090396,0.187036,0.097191,0.186465,0.0,0.342583,0.137876,0.281404
CSI@thr=33,0.094748,0.219521,0.154028,0.214888,0.064239,0.157181,0.085678,0.158797,0.0,0.294631,0.115244,0.244094
POD@thr=7,0.214904,0.505614,0.791717,0.863732,0.350675,0.555456,0.232643,0.499402,0.0,0.555333,0.244289,0.491402
POD@thr=11,0.188308,0.469022,0.783439,0.860163,0.276613,0.480840,0.164057,0.419874,0.0,0.520393,0.226135,0.477898
POD@thr=16,0.162273,0.415552,0.769270,0.852759,0.212566,0.418061,0.137618,0.335136,0.0,0.472761,0.200647,0.453038
POD@thr=23,0.132312,0.341479,0.746290,0.841771,0.154498,0.358037,0.118986,0.282431,0.0,0.415164,0.176559,0.424488
POD@thr=33,0.100532,0.257350,0.709027,0.825344,0.104893,0.299530,0.105371,0.233893,0.0,0.351008,0.149564,0.388585
FAR@thr=7,0.359727,0.359827,0.706333,0.645476,0.732841,0.690032,0.612366,0.640845,1.0,0.307637,0.510447,0.410615
FAR@thr=11,0.365707,0.381585,0.740278,0.675267,0.762743,0.691906,0.615622,0.635383,nan,0.32445,0.547396,0.452752
FAR@thr=16,0.369795,0.390978,0.768837,0.701957,0.789459,0.698223,0.629538,0.637709,nan,0.329542,0.57923,0.497252
FAR@thr=23,0.374853,0.397022,0.800591,0.734925,0.821104,0.718592,0.653341,0.645673,nan,0.337886,0.613764,0.545006
FAR@thr=33,0.377803,0.401063,0.835579,0.774874,0.857821,0.751462,0.685673,0.669081,nan,0.352808,0.665677,0.603701
TW_SSIM,0.071158,0.221665,0.104494,0.202587,0.077940,0.180201,0.063995,0.166497,2e-06,0.291105,0.139361,0.309046
SSIM_overall,0.107466,0.260926,0.134137,0.238987,0.091494,0.213791,0.08922,0.192011,3e-06,0.342407,0.180413,0.361561
SSIM@t=1,0.675519,0.556953,0.526238,0.537549,0.239933,0.460731,0.509529,0.457518,2.8e-05,0.718915,0.751244,0.739099
SSIM@t=2,0.518078,0.422774,0.398574,0.379382,0.213471,0.353743,0.309975,0.277558,2.7e-05,0.55183,0.555968,0.583548
SSIM@t=3,0.341169,0.332838,0.306193,0.278918,0.177773,0.269662,0.216069,0.160495,1e-06,0.420792,0.424016,0.447601
SSIM@t=4,0.208284,0.242183,0.229364,0.209701,0.149184,0.197128,0.20171,0.17235,2e-06,0.323964,0.328401,0.337876
SSIM@t=5,0.157650,0.158328,0.186437,0.168808,0.127941,0.149353,0.11184,0.146326,0.0,0.250748,0.255216,0.266746
SSIM@t=6,0.099210,0.150647,0.154467,0.137796,0.109959,0.114897,0.097767,0.127992,0.0,0.196094,0.208137,0.211663
SSIM@t=7,0.054949,0.121492,0.127326,0.110763,0.092851,0.090154,0.085252,0.090892,0.0,0.154355,0.169351,0.168917
SSIM@t=8,0.032058,0.102191,0.106360,0.088981,0.080279,0.074655,0.027544,0.102956,0.0,0.122678,0.130816,0.137039
SSIM@t=9,0.021182,,0.099990,,0.071308,,0.052969,,0.0,,0.110599,
SSIM@t=10,0.011581,,0.089557,,0.065550,,0.008393,,0.0,,0.098421,
SSIM@t=11,0.007495,,0.071996,,0.060335,,0.025097,,0.0,,0.085928,
SSIM@t=12,0.005194,,0.065599,,0.056283,,0.015328,,0.0,,0.069088,
SSIM@t=13,0.004589,,0.060030,,0.053396,,0.023868,,0.0,,0.0623,
SSIM@t=14,0.004242,,0.048488,,0.051063,,0.022693,,0.0,,0.057819,
SSIM@t=15,0.001628,,0.042372,,0.049581,,0.006709,,0.0,,0.055019,
SSIM@t=16,0.001160,,0.042388,,0.049051,,0.021727,,0.0,,0.052235,
SSIM@t=17,0.002051,,0.038011,,0.045669,,0.010746,,0.0,,0.049732,
SSIM@t=18,0.001363,,0.033066,,0.047258,,0.022154,,0.0,,0.04836,
SSIM@t=19,0.000958,,0.030525,,0.048888,,0.010526,,0.0,,0.047962,
SSIM@t=20,0.000968,,0.025764,,0.040116,,0.004503,,0.0,,0.047653,
